X	Y	Dz	Depth
4.423	-0.07	-0.00847	0.0425
4.423	-0.065	-0.00477	0.0388
4.423	-0.06	-0.00277	0.0356
4.423	-0.055	-0.00087	0.0337
4.423	-0.05	0.00063	0.0322
4.423	-0.045	0.00263	0.0302
4.423	-0.04	0.00323	0.0296
4.423	-0.035	0.00443	0.0284
4.423	-0.03	0.00553	0.0273
4.423	-0.025	0.00523	0.0276
4.423	-0.02	0.00633	0.0248
4.423	-0.015	0.00643	0.0247
4.423	-0.01	0.00753	0.0236
4.423	-0.005	0.00733	0.0238
4.423	0	0.00853	0.0226
4.423	0.005	0.00833	0.0228
4.423	0.01	0.00843	0.0227
4.423	0.015	0.00873	0.0224
4.422	0.02	0.00833	0.0237
4.422	0.025	0.00913	0.0229
4.422	0.03	0.00953	0.0225
4.422	0.035	0.01033	0.0217
4.422	0.04	0.01093	0.0211
4.422	0.045	0.01173	0.0203
4.422	0.05	0.01253	0.0195
4.422	0.055	0.01213	0.0199
4.422	0.06	0.01323	0.018
4.422	0.065	0.01303	0.0182
4.422	0.07	0.01273	0.0185
4.422	0.075	0.01383	0.0174
4.422	0.08	0.01403	0.0172
4.422	0.085	0.01413	0.0171
4.422	0.09	0.01433	0.0169
4.422	0.095	0.01493	0.0163
4.422	0.1	0.01523	0.0168
4.422	0.105	0.01503	0.017
4.422	0.11	0.01513	0.0169
4.422	0.115	0.01533	0.0167
4.422	0.12	0.01603	0.016
4.422	0.125	0.01633	0.0157
4.422	0.13	0.01763	0.0144
4.422	0.135	0.01833	0.0137
4.422	0.14	0.01833	0.0156
4.422	0.145	0.01833	0.0156
4.422	0.15	0.01833	0.0156
